device,comment_id,comment
iPhone 17,33,"Sample comment 33 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,34,"Sample comment 34 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,35,"Sample comment 35 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,36,"Sample comment 36 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,37,"Sample comment 37 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,38,"Sample comment 38 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,39,"Sample comment 39 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,40,"Sample comment 40 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,41,"Sample comment 41 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,42,"Sample comment 42 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,43,"Sample comment 43 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,44,"Sample comment 44 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,45,"Sample comment 45 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,46,"Sample comment 46 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,47,"Sample comment 47 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,48,"Sample comment 48 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,49,"Sample comment 49 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,50,"Sample comment 50 about iPhone 17. Users discuss features, performance, and opinions."
